Abbreviation,Team,Conference,Division,Wins,Losses
ARI,Arizona Cardinals,NFC,West,4,13
ATL,Atlanta Falcons,NFC,South,7,10
BAL,Baltimore Ravens,AFC,North,13,4
BUF,Buffalo Bills,AFC,East,11,6
CAR,Carolina Panthers,NFC,South,2,15
CHI,Chicago Bears,NFC,North,7,10
CIN,Cincinnati Bengals,AFC,North,9,8
CLE,Cleveland Browns,AFC,North,11,6
DAL,Dallas Cowboys,NFC,East,12,5
DEN,Denver Broncos,AFC,West,8,9
DET,Detroit Lions,NFC,North,12,5
GB,Green Bay Packers,NFC,North,9,8
HOU,Houston Texans,AFC,South,10,7
IND,Indianapolis Colts,AFC,South,9,8
JAX,Jacksonville Jaguars,AFC,South,9,8
KC,Kansas City Chiefs,AFC,West,11,6
LV,Las Vegas Raiders,AFC,West,8,9
LAC,Los Angeles Chargers,AFC,West,5,12
LAR,Los Angeles Rams,NFC,West,10,7
MIA,Miami Dolphins,AFC,East,11,6
MIN,Minnesota Vikings,NFC,North,7,10
NE,New England Patriots,AFC,East,4,13
NO,New Orleans Saints,NFC,South,9,8
NYG,New York Giants,NFC,East,6,11
NYJ,New York Jets,AFC,East,7,10
PHI,Philadelphia Eagles,NFC,East,11,6
PIT,Pittsburgh Steelers,AFC,North,10,7
SF,San Francisco 49ers,NFC,West,12,5
SEA,Seattle Seahawks,NFC,West,9,8
TB,Tampa Bay Buccaneers,NFC,South,9,8
TEN,Tennessee Titans,AFC,South,6,11
WAS,Washington Commanders,NFC,East,4,13
